,Country,Sex,Age,SuicidePer100k,HDIScore,EmploymentToPopulationRatio,GDP,GDPPerCapita,GiniIndex,LogGDPPerCapita,LogGDP
0,Albania,0,75,0.0,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
1,Albania,0,55,3.134796238244514,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
2,Albania,0,5,0.0,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
3,Albania,0,35,3.4904013961605584,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
4,Albania,0,25,2.8513238289205702,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
5,Albania,0,15,3.4129692832764507,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
6,Albania,1,75,0.0,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
7,Albania,1,55,0.6064281382656155,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
8,Albania,1,5,0.0,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
9,Albania,1,35,0.6190034045187248,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
10,Albania,1,25,1.4958863126402393,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
11,Albania,1,15,2.3939808481532148,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838
12,Albania,0,75,4.132231404958678,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
13,Albania,0,55,4.242424242424242,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
14,Albania,0,5,0.2724795640326976,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
15,Albania,0,35,2.8546959748786755,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
16,Albania,0,25,3.911342894393742,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
17,Albania,0,15,7.398273736128237,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
18,Albania,1,75,0.0,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
19,Albania,1,55,1.1799410029498525,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
20,Albania,1,5,0.2938583602703497,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
21,Albania,1,35,2.1135265700483092,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
22,Albania,1,25,2.6737967914438503,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
23,Albania,1,15,3.505082369435682,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325
24,Albania,0,75,8.130081300813009,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
25,Albania,0,55,6.417736289381563,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
26,Albania,0,5,0.2689618074233459,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
27,Albania,0,35,2.4807056229327453,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
28,Albania,0,25,2.592912705272256,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
29,Albania,0,15,2.477291494632535,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
30,Albania,1,75,5.012531328320803,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
31,Albania,1,55,0.572737686139748,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
32,Albania,1,5,0.0,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
33,Albania,1,35,0.5839416058394161,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
34,Albania,1,25,1.5319800842589044,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
35,Albania,1,15,2.1231422505307855,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628
36,Albania,0,75,3.9840637450199203,0.629,52.02399826,5429694612.0,1703.281845,38.62148387096775,7.440312166088421,22.4151487284267
37,Albania,0,55,5.056179775280899,0.629,52.02399826,5429694612.0,1703.281845,38.62148387096775,7.440312166088421,22.4151487284267
38,Albania,0,5,1.593625498007968,0.629,52.02399826,5429694612.0,1703.281845,38.62148387096775,7.440312166088421,22.4151487284267
39,Albania,0,35,3.7243947858473,0.629,52.02399826,5429694612.0,1703.281845,38.62148387096775,7.440312166088421,22.4151487284267
40,Albania,0,25,5.5817947617003005,0.629,52.02399826,5429694612.0,1703.281845,38.62148387096775,7.440312166088421,22.4151487284267
